VTNR,0.59,11.4185,193.01
CLDT,1.28,9.8289,59.78
AVNT,2.94,12.1127,92.68
BMRN,2.51,89.8390,22.86
IAS,0.26,44.5214,25.5
CNS,3.47,16.4961,26.03
AMR,19.56,2.2589,0.72
PGTI,2.39,9.2135,120.87
TRNO,1.44,32.7006,29.27
FBIN,4.47,13.3800,154.21
ST,4.18,9.4730,118.27
FDP,2.38,6.4181,29.75
OTTR,3.79,8.4834,65.8
KBH,7.04,4.8421,45.49
PDCO,2.68,8.9522,61.24
DORM,6.06,16.8015,68.88
PETQ,1.1,11.0777,197.68
CXT,4.35,10.0619,104.02
QDEL,5.53,9.5520,54.44
BFAM,3.46,33.4124,163.53
DINO,6.32,3.4438,33.92
CHS,0.73,5.6639,131.94
ZUMZ,0.57,7.8021,65
STLD,9.35,4.1858,35.4
FWONA,1.05,29.9200,42.42
PRI,17.45,12.0804,107.49
RBA,2.94,24.8822,86.71
FIX,8.6,17.5666,25.61
CVLT,3.1,38.5163,7.18
TPH,4.22,5.0667,50.24
EWCZ,0.53,19.4247,278.68
SHAK,0.4,40.7814,173.07
WCC,17.04,8.0023,126.9
HEI,3.37,34.6582,36.79
EBF,1.41,6.0621,3.47
WTRG,1.99,16.3824,123.45
OWL,0.79,15.0119,38.31
ERII,0.49,106.3296,7.8
TNL,5.99,10.2705,0
XPO,3.33,11.2592,289.9
HALO,3.7,16.4586,1012.75
SXT,3.4,13.8428,70.3
WEX,16.15,10.0412,182.17
YORW,1.59,20.2692,74.47
LNN,6.38,10.5459,31.26
DCGO,0.35,56.7689,7.24
MTW,1.51,5.2468,72.35
REPX,8.76,3.9765,102.43
META,16.79,16.6132,27.59
CHEF,1.6,13.9687,217.35
LAMR,5.16,14.4562,395.59
WSM,14.58,6.6176,85.78
HUBG,6.77,4.9101,32.12
GEO,1.21,5.4632,161.47
TWI,1.72,4.0793,97.5
GWRS,0.24,18.0298,241.15
PSFE,1.15,8.6704,294.72
HOUS,0.67,15.9030,213.25
NXGN,1.33,29.2052,66.75
CW,10.01,15.3791,60.75
NFE,5.47,11.6616,381.33
SAIC,7.65,8.5831,131.04
SRI,0.4,13.8674,65.04
AVID,1.95,30.8495,0
ELV,37.02,8.6728,67.91
KTB,4.99,8.4483,263.66
BG,11.73,6.5331,51.47
PNM,2.79,11.1555,204.1
FELE,4.56,14.8758,25.35
WHD,3.67,13.7870,9.59
FNF,5.04,9.1805,61.51
CSV,2.7,10.7582,401.06
THC,6.68,6.8670,300.9
CEG,6.17,13.3234,62.01
RBC,9.54,19.1065,53.82
SKYW,4.56,9.2708,151.98
RSVR,0.09,14.7551,94.6
ASGN,6.3,10.3524,56.72
ZIP,0.29,15.1050,0
RVLV,0.65,13.0306,10.56
SUM,1.7,10.0860,74.4
CRC,5.48,4.0803,31.9
OUT,0.59,14.6417,596.87
HY,4.25,9.1688,177.11
ACHC,3.78,14.5125,50.95
USFD,3.2,10.5474,107.32
IIIN,3.17,7.7452,0.48
DEA,0.17,16.1072,86.1
LNG,10.82,4.3725,433.64
AMPY,1.17,2.8343,35.54
ULCC,1.17,75.5389,544.88
UGI,3.11,602.9745,162.73
HLX,0.73,10.0516,29.23
JYNT,0.24,14.1226,79.53
MGEE,3.59,13.7290,67.1
MOV,3.75,5.1151,16
IMKTA,4.7,4.0111,42.38
DCI,3.49,14.4967,49.65
CMCO,3.32,11.4815,75.83
CMTL,0.82,20.7221,38.17
TNK,10.17,2.2669,22.16
CENTA,2.86,10.0963,94.7
KLIC,2.12,16.2811,4.1
SPSC,3.13,60.1050,2.52
FIGS,0.13,32.9372,6.2
AAON,2.24,24.3196,13.04
CUBE,1.87,17.9349,105.36
CGNX,1.1,38.6472,4.73
VC,9.7,11.8526,60.54
AMPH,3.47,19.2605,89.73
CNM,2.29,7.9400,79.26
NR,0.28,9.2555,28.24
SCSC,4.66,6.3869,37.95
AAT,0.75,12.1426,145.63
MUSA,23.13,8.2040,302.13
WFRD,7.07,7.9801,326.34
AMCX,6.02,4.1863,229.77
LILAK,0.54,6.4531,359.71
ACCO,1.32,7.5257,140.93
ATSG,2.01,5.0758,109.28
SMTC,1.53,46.0387,193.53
KAR,0.7,13.1805,112.36
THO,7.22,6.2370,43.78
SKX,4.14,10.4614,40.11
WNC,3.16,4.0868,87.72
COOP,7.98,30.3762,192.16
UWMC,0.38,15.5288,301.75
HRT,1.33,9.3515,144.35
NAPA,0.7,15.0194,26.4
SIRI,0.33,10.0842,0
NHI,2.97,12.5046,87.94
APEI,0.02,8.1742,73.28
ZGN,0.47,19.6812,125.21
TKR,7.59,7.8900,82.82
FORR,2.08,10.8429,40.57
JHG,2.44,7.4682,8.17
NSIT,10.77,13.5919,64.89
LGND,4.25,18.9293,1.75
FA,1.12,9.5788,52
VTLE,20.43,2.4353,108.78
TREX,2.13,29.2953,37.76
PRIM,2.88,8.6338,118.8
GTY,1.29,16.2920,80.38
UPBD,3.77,11.5127,245.64
LEU,2.48,16.0206,0
RGP,1.88,4.7212,4.28
GGG,3.15,18.6792,7.26
LEA,16.34,6.9183,69.45
AVD,1.3,12.1468,50.16
MNTK,0.3,27.2922,31.69
STGW,0.99,8.4236,231.28
TROX,1.59,7.9364,134.56
DT,1.2,91.7743,4.61
FERG,9.23,11.4461,110.82
WEN,1.13,15.4785,1076.62
STAG,0.75,18.2964,71.87
EPC,2.8,9.5649,89.64
NPO,7.75,12.0612,55.36
DGII,2.26,16.1043,42.95
GMS,8.24,6.1149,95.26
JOUT,4.8,7.5582,10.51
TNET,6.66,12.2938,59.45
IRT,0.28,17.9583,70.72
KDP,1.92,16.2360,56.88
HCC,4.16,2.4071,19.52
COKE,38.94,6.8035,53.83
SONO,0.39,70.7920,9.89
RPAY,0.94,16.6909,49.02
H,3.51,17.6641,93.05
CNXC,12.36,6.5841,91.52
SMPL,1.8,16.5969,24
CABO,54.98,7.9587,213.85
SSTK,4.62,8.6200,14.28
